full_name,track,metric,n,n_pre,n_post,r2,level_change_coef,level_change_se,level_change_p,level_change_ci_lo,level_change_ci_hi,slope_change_coef,slope_change_se,slope_change_p,slope_change_ci_lo,slope_change_ci_hi,slope_pre_coef,slope_pre_p,dof,intercept_coef,intercept_se,intercept_p,intercept_ci_lo,intercept_ci_hi,slope_pre_se,slope_pre_ci_lo,slope_pre_ci_hi
EduardoPires/EquinoxProject,A1,cyclomatic_complexity_p90,51,41,10,-inf,4.490350462417073e-19,1.3960670481488467e-15,0.9997447274523603,-2.7358423793254978e-15,2.7367404494179815e-15,-3.086818234825892e-16,2.2087804193324154e-16,0.1688190955404759,-7.416027856717426e-16,1.2423913870656421e-16,-6.335292055671952e-18,0.8108899320435925,47,2.9999999999999987,6.112544417997088e-16,0.0,2.9999999999999973,3.0,2.6328147603803367e-17,-5.793846135912655e-17,4.526787724778265e-17
Kiln-AI/Kiln,A1,cyclomatic_complexity_p90,19,10,9,0.5068003909357233,0.05627826606293948,0.3622312070521783,0.8786045500030878,-0.6536948997593299,0.766251431885209,-0.2527024825020776,0.06629147929702407,0.0017010201908185753,-0.3826337819242448,-0.12277118307991042,0.10276952792039162,0.03100584679560033,15,3.0391103534402455,0.2296211089557471,1.1204474323026455e-09,2.589052979886981,3.48916772699351,0.043178447876458435,0.01813977008253309,0.18739928575825016
MervinPraison/PraisonAI,A1,cyclomatic_complexity_p90,23,14,9,0.686253552919714,-0.08381362735334869,0.8880282525705184,0.9257941828829435,-1.8243490023915647,1.6567217476848672,-0.648814361779005,0.14513542348855007,0.0002622210449488058,-0.9332797918165632,-0.36434893174144684,0.3493123675539377,1.7598870251767784e-05,19,3.960158826213992,0.5169051307827566,3.167219202691206e-07,2.947024769879789,4.973292882548195,0.06143531682005395,0.22889914658663194,0.46972558852124346
NethermindEth/nethermind,A1,cyclomatic_complexity_p90,51,42,9,-inf,-7.356856221440148e-17,9.982753569474069e-16,0.9415653075762714,-2.0301882618313188e-15,1.8830511374025156e-15,2.284794870031391e-16,1.8034085938744303e-16,0.21142208419093325,-1.2498859739624925e-16,5.819475714025274e-16,-9.748896104854347e-17,1.5125924073137768e-06,47,4.000000000000002,4.215855267807456e-16,0.0,4.000000000000001,4.000000000000003,1.771821699014806e-17,-1.3221666634923366e-16,-6.276125574785328e-17
NewFuture/DDNS,A1,cyclomatic_complexity_p90,51,42,9,0.908153445764734,-3.0901521303525517,0.3984790877027309,5.928277876576718e-10,-3.871171142249904,-2.309133118455199,-0.33449848079207123,0.07435300021792973,4.475427439719306e-05,-0.4802303612192135,-0.18876660036492895,3.0531133177191805e-16,0.9999999999999668,47,8.999999999999993,0.17381612171016428,4.158817113447457e-43,8.65932040144807,9.340679598551915,0.007305069944795283,-0.014317937091798448,0.014317937091799059
PriorLabs/TabPFN,A1,cyclomatic_complexity_p90,46,36,10,0.24222997617414266,1.3573523515747692,0.45690343809359074,0.004896495550141131,0.4618216129113314,2.252883090238207,-0.23132417302262748,0.07194173036702907,0.002506686082251243,-0.37232996454200445,-0.0903183815032505,-0.01299904666184913,0.2176490790865828,42,6.533190352845539,0.21150668373568912,1.6609367713463405e-30,6.118637252723588,6.947743452967489,0.01038611000609436,-0.03335582227379408,0.007357728950095817
PromtEngineer/localGPT,A1,cyclomatic_complexity_p90,34,26,8,0.9212270013867631,1.8651341613603079,0.25118862524938385,2.833064214130146e-08,1.3728044558715156,2.3574638668491,-0.030172713407508864,0.04759478077245251,0.5309178453506191,-0.12345848372151577,0.06311305690649804,0.03017271340750853,0.0006612019497493189,30,6.368346161390142,0.11594266034679787,1.1498286208311026e-31,6.141098547110418,6.595593775669866,0.007942103133672291,0.01460619126551084,0.04573923554950622
Significant-Gravitas/AutoGPT,A1,cyclomatic_complexity_p90,35,25,10,0.11828489635184891,0.6846521384423564,0.716766200796892,0.3468685182761653,-0.720209615119552,2.089513892004265,-0.003722357124586328,0.10875926128809177,0.9729166385455109,-0.2168905092492462,0.20944579500007354,0.003722357124586342,0.8854591909714149,31,5.220264796143869,0.38080894022971645,1.0604223891508028e-14,4.473879273293625,5.966650318994113,0.025628458622120147,-0.04650942177476914,0.05395413602394183
Skyvern-AI/skyvern,A1,cyclomatic_complexity_p90,24,14,10,0.6995197717644064,-0.17544226292390538,0.3094189967628963,0.5770195713828874,-0.7819034965791821,0.4310189707313713,-0.06487437163441784,0.048059619844643534,0.19213787363628043,-0.15907122652991917,0.029322483261083485,0.10776942141011404,0.00031655022780629013,20,5.7986782232072915,0.1900249695927571,3.0049220343925476e-18,5.426229282805488,6.171127163609095,0.02482242691410947,0.05911746465845948,0.1564213781617686
TobikoData/sqlmesh,A1,cyclomatic_complexity_p90,39,30,9,0.43200443522945986,-0.21005751057448202,0.2365335840677091,0.3805676694475776,-0.6736633353471919,0.2535483141982278,-0.029811059432602687,0.038858439230544106,0.448124454872877,-0.10597360032446913,0.04635148145926375,0.029811059432602365,3.363996952125513e-05,35,4.341629313261964,0.10581237579301288,3.4416719171538628e-31,4.134237056707659,4.5490215698162695,0.0062705547338723615,0.017520772154212536,0.042101346710992194
