full_name,metric,drop_degenerate,re_Group,re_t_rel_post,re_post_num
BerriAI/litellm,design_smell_density_per_kloc,True,-0.5709302230063896,-0.018818228998635455,
Blaizzy/mlx-vlm,design_smell_density_per_kloc,True,-0.023818843818832685,-0.0029698662610299397,
DaveSkender/Stock.Indicators,design_smell_density_per_kloc,True,1.7818931266813727,0.0633740852054078,
EduardoPires/EquinoxProject,design_smell_density_per_kloc,True,2.145193906639806,0.07738708838085534,
Kiln-AI/Kiln,design_smell_density_per_kloc,True,-0.5482446664327983,-0.019433313737665756,
MervinPraison/PraisonAI,design_smell_density_per_kloc,True,-0.5730247502080573,-0.021060948467350647,
NethermindEth/nethermind,design_smell_density_per_kloc,True,0.42646664124557704,0.014175363076938455,
PriorLabs/TabPFN,design_smell_density_per_kloc,True,-0.8278412866703151,-0.029424049306192312,
PromtEngineer/localGPT,design_smell_density_per_kloc,True,-0.7292499379319145,-0.025402039462963363,
Significant-Gravitas/AutoGPT,design_smell_density_per_kloc,True,-0.47281383617791195,-0.015377137865333844,
Skyvern-AI/skyvern,design_smell_density_per_kloc,True,-0.25535653233543837,-0.009575556521900501,
TobikoData/sqlmesh,design_smell_density_per_kloc,True,-0.5190131525593816,-0.019832694159532194,
aipotheosis-labs/aci,design_smell_density_per_kloc,True,-0.2775606713126449,-0.010007331685204828,
airbytehq/airbyte,design_smell_density_per_kloc,True,-0.4254662598405917,-0.01687207844290894,
bentoml/BentoML,design_smell_density_per_kloc,True,-0.759507740059412,-0.025829566125143217,
browser-use/browser-use,design_smell_density_per_kloc,True,-0.4882560835133088,-0.017865041439592885,
bruin-data/ingestr,design_smell_density_per_kloc,True,-0.656722546358379,-0.02355272075739468,
