repo_id,full_name,track,unit,n_prs_found,total_count,is_undersampled,status,error
136202695.0,mlflow/mlflow,B1,2024-11-01,9,9,True,ok,
136202695.0,mlflow/mlflow,B1,2024-12-01,10,16,False,ok,
136202695.0,mlflow/mlflow,B1,2025-01-01,0,0,True,ok,
136202695.0,mlflow/mlflow,B1,2025-02-01,2,2,True,ok,
136202695.0,mlflow/mlflow,B1,2025-03-01,2,2,True,ok,
136202695.0,mlflow/mlflow,B1,2025-04-01,10,15,False,ok,
136202695.0,mlflow/mlflow,B1,2025-05-01,10,16,False,ok,
136202695.0,mlflow/mlflow,B1,2025-06-01,10,20,False,ok,
136202695.0,mlflow/mlflow,B1,2025-07-01,10,21,False,ok,
136202695.0,mlflow/mlflow,B1,2025-08-01,10,22,False,ok,
136202695.0,mlflow/mlflow,B1,2025-09-01,10,25,False,ok,
136202695.0,mlflow/mlflow,B1,2025-10-01,10,36,False,ok,
136202695.0,mlflow/mlflow,B1,2025-11-01,4,4,True,ok,
136202695.0,mlflow/mlflow,B1,2025-12-01,10,46,False,ok,
136202695.0,mlflow/mlflow,B1,2026-01-01,10,23,False,ok,
136202695.0,mlflow/mlflow,B1,2026-02-01,10,34,False,ok,
136202695.0,mlflow/mlflow,B1,2026-03-01,10,17,False,ok,
136202695.0,mlflow/mlflow,B2,before,10,11147,False,ok,
136202695.0,mlflow/mlflow,B2,after,10,7346,False,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-01-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-02-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-03-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-04-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-05-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-06-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-07-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-08-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-09-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-10-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-11-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2022-12-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-01-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-02-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-03-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-04-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-05-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-06-01,1,1,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-07-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-08-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-09-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-10-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-11-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2023-12-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-01-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-02-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-03-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-04-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-05-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-06-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-07-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-08-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-09-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-10-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-11-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2024-12-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-01-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-02-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-03-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-04-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-05-01,1,1,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-06-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-07-01,10,32,False,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-08-01,6,6,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-09-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-10-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-11-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2025-12-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2026-01-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2026-02-01,4,4,True,ok,
134182879.0,wieslawsoltes/Dock,B1,2026-03-01,0,0,True,ok,
134182879.0,wieslawsoltes/Dock,B2,before,10,186,False,ok,
134182879.0,wieslawsoltes/Dock,B2,after,10,584,False,ok,
696529789.0,dotnet/aspire,B1,2022-01-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-01-01..2022-01-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2022-02-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-02-01..2022-02-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2022-03-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-03-01..2022-03-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2022-04-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-04-01..2022-04-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2022-05-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-05-01..2022-05-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2022-06-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-06-01..2022-06-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2022-07-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-07-01..2022-07-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2022-08-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-08-01..2022-08-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2022-09-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-09-01..2022-09-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2022-10-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-10-01..2022-10-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2022-11-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-11-01..2022-11-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2022-12-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2022-12-01..2022-12-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2023-01-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-01-01..2023-01-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2023-02-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-02-01..2023-02-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2023-03-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-03-01..2023-03-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2023-04-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-04-01..2023-04-02&sort=created&order=asc&per_page=10
696529789.0,dotnet/aspire,B1,2023-05-01,0,,,error,422 Client Error: Unprocessable Entity for url: https://api.github.com/search/issues?q=repo%3Adotnet%2Faspire+is%3Apr+created%3A2023-05-01..2023-05-02&sort=created&order=asc&per_page=10
